category,headline,first_paragraph
crime,FBI Fires Shots During Raid Of Maryland Home Of Emory Hughley,It's unclear what led them to believe she had a weapon. It's believed that one agent fired multiple times at the teen in
crime,Jeffrey Pyne Trial: 911 Calls About Death Of Ruth Pyne Played For Jury,"Jeffrey Pyne, now 22, stands accused of killing his mother by stabbing her 16 times in the neck and hitting her repeatedly"
crime,"Leonel Contreras Guilty: California Teen Convicted Of Raping, Kidnapping Girls","Leonel Contreras was tried as an adult and will be sentenced Dec. 5, according to KFMB. Rodriguez's lawyer, Dana Feuling"
crime,Jay Connolly Allegedly Robs Woman Who Bailed Him Out Of Jail,Officials say it took about two hours for the woman to free herself from the laces. Police located Connolly and Dean at a
crime,"Lisa Holley, Allegedly Faked Daughter's Cancer And Pregnancy","According to The Associated Press, the teenage girl does not have cancer and lives with relatives in Seattle. An Idaho woman"
crime,"Cesar Ruiz, Father, Accused Of Pouring Rum Into Baby Son's Feeding Tube","At first, Ruiz denied the accusations when confronted by deputies, but he then allegedly admitted he took an empty feeding"
crime,"John Thompson Sexually Assaults 7-Year-Old Girl, Says She Forced Him To Do It","The former brewery employee claimed that the young child ""flirted"" with him before pushing him down and forcing her tongue"
crime,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",She left her husband. He killed their children. Just another day in America.
crime,Rachel Dolezal Faces Felony Charges For Welfare Fraud,"State prosecutors say almost $84,000 had been deposited into her bank account while she was receiving public assistance."
crime,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's","“We thought we were going to die,"" one of the students said."
crime,2 People Injured In Indiana School Shooting,"A male student, believed to be the suspect, has been detained, according to police."
crime,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls,"The victims, who are now adults, were enrolled in a church-run program designed to give troubled teens a safe place to live."
crime,These Are The Victims Of The Santa Fe High School Shooting,Authorities confirmed the deaths of 10 people in the mass shooting. Here are their stories.
economi,Seattle Passes Controversial New Tax On City's Biggest Companies To Combat Housing Crisis,"Following the council vote, Amazon’s vice president, Drew Herdener, said the company has resumed construction planning for its so-called Block 18 project in downtown Seattle."
economi,Bank Of America Appears To Flip On Firearm Promise With Loan To Remington,The bank pledged in April to stop financing companies that sell military-style firearms to civilians. Remington made the Bushmaster rifle used in the Sandy Hook school massacre.
economi,T-Mobile Agrees To Acquire Sprint For $26 Billion,U.S. regulators are expected to grill the companies on how they will price their combined wireless offerings.
unemploy,Jack: 3.4% unemployment in Tobago,"Tobago’s unemployment rate at the end of the third quarter of 2017 was 3.4 per cent, with 60 per cent f the labour force employed by the state and 40 per cent by the private sector."
unemploy,Unemployment remains at four per cent,"The latest info from the Central Statistical office (CSO) shows the country’s unemployment figure has remained steady at four percent, despite current economic circumstances, Planning and Development Minister Camille Robinson-Regis says."
unemploy,Garcia:lack of skills in TT youth is reason for unemployment,One reason for youth unemployment in TT is a growing mismatch between the supply and demand for skills said Education Minister Anthony Garcia. Delivering remarks today at a forum at Hilton Trinidad hosted by the Youth Training and Employment Partnership Programme (YTEPP) “Sustainable Skills Development Pathways for Future Business and Community Success - A National Imperative” Garcia said in TT there is an oversupply of social science and business graduates but an under supply of skilled workers and technicians.
unemploy,Camille: Unemployment rate down,"Planning and Development Minister Camille Robinson-Regis is insisting that the unemployment rate has gone down since the People’s National Movement came into power in 2015, despite claims by the Opposition that this was not so"
unemploy,Unemployment rate drops in 4th quarter of 2016,"The Central Statistical Office (CSO) in its Labour Bulletin indicated that the unemployment rate among men decreased from four percent to 3.8 percent while the number of women unemployed dropped from four to 3.3 percent. However compared to the same period for 2015, the overall unemployment rate increased from 3.5 to 3.6 percent."
unemploy,"Bad roads, unemployment lead to protest","ANGRY demonstrators at Blake Avenue, Damarie Hill, Sangre Grande yesterday blocked the Eastern Main Road near Damarie Hill in protest over what they described as worsening road conditions and the inability of young people to gain employment."
unemploy,Govt’s war with labour,"FORMER Minister in the Ministry of Labour Rudranath Indarsingh said with 35,000 people being fired since September 2015 and more jobs threatened at Petrotrin, the Board of Inland Revenue (BIR), Customs and Excise, WASA and T&TEC, there is nothing to celebrate this Labour Day."
unemploy,UWI: Employment a major concern for students,"With thousands of students entering the job market within a few days, UWI Guild of Students president Jonathan St Louis-Nahous said employment was a major concern for students."
unemploy,Baptiste-Primus: ‘Support for unemployed people’,MINISTER of Labour and Small Enterprise Development Jennifer Baptiste-Primus says she understands the pain unemployed people are facing and says there is support for people looking to get back on their feet.
unemploy,"Karim: Economy in tatters, 30,000 unemployed","CHAGUANAS East MP and former Tertiary Education and Skills Training minister Fazal Karim has expressed extreme shock and dismay with the news that a reported 125 UTT staff were fired just one day after Finance Minister Colm Imbert grinned and boasted in Parliament that, “it’s going to be a bright sun-shining day.”"
unemploy,DUSTY DEGREES,Families across the country rejoiced when government announced that tertiary education would be free and many people rushed at a chance of betterment through higher education.
unemploy,University graduates face depression over unemployment,"For many, university degrees remain untouched – just another page in the dozens of resumes and applications they diligently fill out, hoping to land their dream jobs. But with an economic downturn, a foreign exchange shortage and an increasingly high cost of living, many graduates have to face the reality that they may never get that “perfect” job."
unemploy,PNM has failed miserably,"After hounding the Central Bank Governor out of office, Karim said, the forex situation remains unresolved and is at crisis proportions. Under the PNM, unemployment has escalated and under-employment is normalised, as employers exercise leverage in a buyer’s market for labour. Visitor arrivals are at an all-time low and domestic tourism to Tobago has collapsed because of the sea-bridge fiasco."
unemploy,THA must work with private sector to help create jobs,"An online business network which operates an employment resort programme and has a membership of some 600 registered unemployed persons, is calling on the Tobago House of Assembly (THA) to have the private sector play a bigger role in the development of the island’s economy."
unemploy,"Millennials face life after college, finding a ‘quarter-life crisis’ instead of dream jobs","“This is a real issue unique to this generation called ‘a quarter-life crisis,’” said Cyrus Williams, a licensed professional counselor and an associate professor at Regent University in Virginia. Millennials are “struggling in terms of milestones, getting jobs, parenting, finding jobs, having too many choices, and having debt coming right out of college.”"
unemploy,Why Are So Many College Graduates Unemployed?,"That’s not really fair, though. Their parents weren’t in 100k of student debt, unemployment was not rampant, and automation wasn’t replacing them at unprecedented rates."
unemploy,No Job? How New Grads Can Cope With Depression,"Many young people experience panic or depression following college graduation, especially if they don’t have set employment plans. So if you find yourself without a job and are feeling down, realize you’re not alone. If your unemployment blues start affecting your daily life, however, it's time to pay your mental health some attention."
unemploy,$22m for terminated URP workers,"GOVERNMENT will be paying out more than $22 million to about 450 Unemployment Relief Workers (URP) terminated by the previous administration, and more than $400,000 to former employees of AVM station who have been waiting on gratuity for almost two decades, reported Communications Minister Stuart Young."
unemploy,"Fuad: Unemployed health graduates ""insulting""",Former Health Minister Dr. Fuad Khan has called on Government to create employment opportunities for those with tertiary education in response to the report that hundreds of young graduates in the medical profession were finding difficulty in getting jobs.
unemploy,Catholic church reaches out to Petrotrin workers,"UNEMPLOYMENT is a great demon, St Benedict’s RC Church parish priest, Monsignor Christian Pereira said at a meeting held at the church for Petrotrin workers, Sunday."
unemploy,Unemployment rate increases,The coun­try's un­em­ploy­ment rate has in­creased again. The lat­est da­ta from the Cen­tral Sta­tis­ti­cal Of­fice (CSO) in­di­cates that the un­em­ploy­ment rate in­creased from 3.8 per cent in the first quar­ter of 2016 to 4.4 per cent in the sec­ond quar­ter–April to June 2016.
unemploy,More Trinis Working for Themselves,"“Unemployed males decreased by 600 or 3.9 per cent while unemployed females decreased by 2,400 or 18.3 per cent. From a gender perspective, the unemployment rate among males decreased from 4.1 per cent to 4.0 per cent.”"
unemploy,"Kwesi: 1,575 persons hired in restored URP","Secretary of Infrastructure, Quarries and the Environment, Councillor Kwesi DesVignes on Thursday boasted of a restored Unemployment Relief Programme (URP) with 1,575 persons employed in full time and part time work."
unemploy,Unemployment rate creeps up,"The Cen­tral Sta­tis­ti­cal Of­fice (CSO) re­port­ed yes­ter­day that the over­all un­em­ploy­ment rate had in­creased from 3.5 per cent in the last quar­ter of 2015 to 3.8 per cent in the first quar­ter of 2016, based on da­ta col­lect­ed in the Con­tin­u­ous Sam­ple Sur­vey of Pop­u­la­tion con­duct­ed dur­ing the pe­ri­od Jan­u­ary to March 2016."
unemploy,THA: No URP workers being sent home,"THE Tobago House of Assembly (THA) says it has no plans to get rid of any of the 1,578 workers who have been verified as employed with Unemployment Relief Programme (URP). To date, some $15 million has been spent on the programme, out of an $18 million allocation by Government."
unemploy,Unemployment higher at 3.4 per cent,Da­ta just re­leased by the Cen­tral Sta­tis­ti­cal Of­fice (CSO) shows that T&T's un­em­ploy­ment rate in­creased to 3.4 per­cent in the third quar­ter of last year.
unemploy,Getting the facts on the unemployment rate,"Every­thing de­pends on the struc­ture of em­ploy­ment–whether the jobs are pro­duc­tive or not. And the rea­son URP and Cepep are called ""make-work"" pro­grammes is be­cause they do not re­al­ly con­tribute to eco­nom­ic growth but, in the long run, are par­a­sitic on the econ­o­my."
unemploy,Concern over high youth unemployment,"Al­though T&T is re­port­ed to have full un­em­ploy­ment, that is not the case among the coun­try's young peo­ple. A study re­leased this week by the Caribbean De­vel­op­ment Bank shows that T&T's youth un­em­ploy­ment rate, while be­low the world av­er­age, is still a source of con­cern. The CDB re­port shows that among eight coun­tries in the re­gion the youth un­em­ploy­ment rate is 25 per cent–the high­est world­wide."
unemploy,T&T records lowest unemployment rate,"T&T record­ed the low­est un­em­ploy­ment rate in the coun­try's his­to­ry in the first quar­ter of 2013 when the rate fell from 4.7 per cent to 3.7 per cent.This is ac­cord­ing to da­ta in the lat­est Labour Force bul­letin from he Cen­tral Sta­tis­ti­cal Of­fice col­lect­ed in the Con­tin­u­ous Sam­ple Sur­vey of Pop­u­la­tion con­duct­ed be­tween Jan­u­ary- March 2013.The CSO re­port­ed that the un­em­ploy­ment rate for fe­males de­creased from 6.6 per cent to 4.7 per cent, while un­em­ploy­ment rate for males de­creased from 4.6 per cent to 3 per cent."
unemploy,CSO: Unemployment rate climbs to 5.8%,"The over­all un­em­ploy­ment rate for T&T climbed from 5.1 per cent in the sec­ond quar­ter 2009 to 5.8 per cent in the third quar­ter 2009, the Cen­tral Sta­tis­ti­cal Of­fice has said. ""This has been the third suc­ces­sive quar­ter of in­creas­es in the un­em­ploy­ment rate since the fourth quar­ter 2008 when the low­est un­em­ploy­ment rate of 3.9 per cent was record­ed. ""The un­em­ploy­ment rate mea­sures the num­ber of un­em­ployed per­sons as a per­cent­age of the labour force,"" the CSO stat­ed in its De­cem­ber 28 re­lease of the Labour Force Bul­letin for the third quar­ter 2009."
unemploy,T&T citizens must consider unemployment insurance,Like many cit­i­zens in T&T I am deeply con­cerned about the plight of the over 600 Arcelor­Mit­tal and oth­er work­ers who re­cent­ly lost their jobs through no fault of their own. The re­port of one spouse try­ing to end her life be­cause of im­pend­ing fi­nan­cial prob­lems adds to the pain we must all feel for these work­ers.
unemploy,Slight increase in unemployment rate,"The to­tal num­ber of un­em­ployed peo­ple in Trinidad and To­ba­go in­creased from 36,600 in the 3rd Quar­ter 2010 to 39,800 in the 4th Quar­ter 2010 – an in­crease of 3,200 un­em­ployed peo­ple or 8.7 per cent. Ac­cord­ing to the Labour Force bul­letin for the 4th Quar­ter 2010 which has just been re­leased by the Cen­tral Sta­tis­ti­cal Of­fice (CSO), the num­ber of Un­em­ployed Fe­males in­creased by 4,200 while Un­em­ployed Males de­creased by 1,000. The most sig­nif­i­cant in­creas­es in un­em­ployed peo­ple were record­ed in the fol­low­ing age groups: 20 - 24 years (2,400 peo­ple); 30- 34 years (2,100 peo­ple); 15 - 19 years (1,500 peo­ple); and 40 – 44 (900 peo­ple)."
unemploy,Cabrera questions 5.8% unemployment data,"Vin­cent Cabr­era, pres­i­dent, Bankers In­sur­ance and Gen­er­al Work­ers Union (BIG­WU), has ex­pressed con­cerns about the ac­cu­ra­cy of the lat­est Cen­tral Sta­tis­ti­cal Of­fice (CSO) un­em­ploy­ment rate of 5.8per cent. Cabr­era said the da­ta col­lec­tion in T&T was very dif­fi­cult if it was not record­ed prop­er­ly by the var­i­ous agen­cies. He said the time­ly col­lec­tion of da­ta is usu­al­ly a chal­lenge. ""Da­ta col­lec­tion op­tions were lim­it­ed and there was al­ways a lag time,""Cabr­era said. He said the CSO did not break­down the fig­ure in terms of the var­i­ous sec­tors, which makes it dif­fi­cult to de­ter­mine its ac­cu­ra­cy."
unemploy,Youth unemployment rate rising says UN,"GENE­VA–Youth un­em­ploy­ment is like­ly to rise glob­al­ly to 12.8 per cent by 2018, wip­ing out gains made in the re­cent eco­nom­ic re­cov­ery, the UN's labour of­fice said yes­ter­day.As of last year, some 12.4 per cent of peo­ple aged 15 to 24 world­wide were un­em­ployed, up from 12.3 per cent in 2011, ac­cord­ing to a re­port pub­lished by the In­ter­na­tion­al Labour Or­gan­i­sa­tion, which is based in Gene­va."
unemploy,US stocks mixed after unemployment rate drops,"A big drop in the un­em­ploy­ment rate wasn&#39;t enough for in­vestors Fri­day. Stocks post­ed gains ear­ly in the day but fad­ed to a mixed close. The La­bor De­part­ment said the un­em­ploy­ment rate had de­clined to 7.8 per cent, its first dip be­low 8 per cent in near­ly four years. The de­cline from 8.1 per­cent the month be­fore was big­ger than econ­o­mists had ex­pect­ed."
unemploy,Central Bank Governor Williams: Unemployment rates rising,"As the trade union move­ment pre­pares for a mass demon­stra­tion on Fri­day, Cen­tral Bank Gov­er­nor Ewart Williams said yes­ter­day that he does not ex­pect the in­dus­tri­al un­rest to con­tin­ue in­to 2012. That's be­cause ""unions lose their clout"" when there are high lev­els of un­em­ploy­ment, said Williams. He was speak­ing at the Cen­tral Bank's bi-an­nu­al Mon­e­tary Pol­i­cy Re­port me­dia con­fer­ence yes­ter­day. Williams said un­em­ploy­ment rates were ris­ing. ""Peo­ple tend to fo­cus more on job se­cu­ri­ty than wages,"" he ob­served. The labour move­ment has called on all work­ers to par­tic­i­pate in a mass demon­stra­tion through the streets of Port-of-Spain on Fri­day to protest the ""three months of siege, un­der a re­pres­sive state of emer­gency."""
unemploy,US hiring picked up in July; so did unemployment,"WASH­ING­TON-The US econ­o­my gen­er­at­ed 163,000 jobs in Ju­ly af­ter three months of weak hir­ing, a sign it is re­silient enough to pull out of a midyear slump and grow mod­est­ly as the rest of the world slows down. But em­ploy­ers aren't hir­ing enough to dri­ve down the un­em­ploy­ment rate, which ticked up to 8.3 per cent last month from 8.2 per cent in June - the 42nd straight month the job­less rate has ex­ceed­ed 8 per cent. The Unit­ed States re­mains stuck with the weak­est eco­nom­ic re­cov­ery since World War II."
unemploy,Bernanke: US unemployment could stay high,"WASH­ING­TON-Fed­er­al Re­serve Chair­man Ben Bernanke says that with­out faster eco­nom­ic growth, it could take &quot;a few more years&quot; for US un­em­ploy­ment to de­cline to a nor­mal rate. In an in­ter­view with ABC News, Bernanke said Tues­day that he is sleep­ing bet­ter these days be­cause the US fi­nan­cial sys­tem looks stronger, and threats from Eu­rope&#39;s debt cri­sis look less wor­ri­some. He said the jump in gas prices should have on­ly a mod­er­ate drag on growth."
unemploy,Unemployment risks creating new divide in Europe,"BRUS­SELS–Record un­em­ploy­ment and fray­ing so­cial wel­fare sys­tems in south­ern Eu­rope risk cre­at­ing a new di­vide in the con­ti­nent, the EU warned yes­ter­day, when fig­ures showed job­less­ness across the 17 EU coun­tries that use the eu­ro hit a new high. Of­fi­cial da­ta showed eu­ro­zone un­em­ploy­ment rose to 11.8 per cent in No­vem­ber, the high­est since the eu­ro cur­ren­cy was found­ed in 1999. The rate was up from 11.7 per cent in Oc­to­ber and 10.6 per cent a year ear­li­er."
unemploy,Unemployment was 3.5 per cent at year end,The lat­est avail­able da­ta from the Cen­tral Sta­tis­ti­cal Of­fice shows that the over­all un­em­ploy­ment rate for in­creased from 3.4 per cent in the third quar­ter 2015.
unemploy,Canada's unemployment rate rises to 7.3%,"TORON­TO-Cana­da had its worst month for jobs since 2009 as the econ­o­my un­ex­pect­ed­ly shed 54,000 jobs last month, push­ing the un­em­ploy­ment rate to 7.3 per cent from 7.1 per cent. Sta­tis­tics Cana­da said Fri­day that af­ter strong job cre­ation in Sep­tem­ber, the econ­o­my gave most of those jobs back in Oc­to­ber, shed­ding 71,700 full time jobs. The re­sult means that for the last four months, new em­ploy­ment in Cana­da has ba­si­cal­ly been stag­nant."
unemploy,Oil prices rise after drop in US unemployment,"NEW YORK-Oil prices rose yes­ter­day af­ter the gov­ern­ment re­port­ed that the US econ­o­my added more jobs last month, which could dri­ve up de­mand for fu­el with more peo­ple head­ing back to work. Bench­mark crude rose by 76 cents to US$97.12 per bar­rel in morn­ing trad­ing in New York. Brent crude rose by US$1.54 to US$113.61 per bar­rel in Lon­don. Prices jumped af­ter the Labour De­part­ment re­port­ed that the US econ­o­my added 243,000 jobs in Jan­u­ary. That was an un­ex­pect­ed­ly big in­crease for the first month of the year and the un­em­ploy­ment rate fell to 8.3 per­cent. The gov­ern­ment says com­pa­nies hired across the pay scale, from high-salary pro­fes­sion­al ser­vices to man­u­fac­tur­ing."
unemploy,"Social services ready to assist jobless: $15,000 grant, food card relief","As the un­em­ploy­ment rate con­tin­ues to rise, the Min­istry of So­cial De­vel­op­ment and Fam­i­ly Ser­vices is of­fer­ing an ar­ray of so­cial ser­vices to help the job­less get back on their feet.The ser­vices range from grants, tem­po­rary food cards and coun­selling, Min­is­ter of So­cial De­vel­op­ment and Fam­i­ly Ser­vices Cher­rie-Ann Crichlow-Cock­burn said in an in­ter­view over the week­end."
unemploy,Unemployment edges up to 7.9 per cent in Britain,"LON­DON–Britain's eco­nom­ic out­look has grown bleak­er, with new fig­ures show­ing un­em­ploy­ment edg­ing up to 7.9 per cent–the worst rate for al­most a year.The Of­fice of Na­tion­al Sta­tis­tics says un­em­ploy­ment in­creased by 70,000 be­tween De­cem­ber 2012 and this Feb­ru­ary. Wednes­day's da­ta shows the num­ber of 16-24 year olds out of work rose by 20,000 to 979,000."
unemploy,1.3 million losing unemployment benefits today,"WASH­ING­TON–More than 1 mil­lion Amer­i­cans are brac­ing for a har­row­ing, post-Christ­mas jolt as fed­er­al un­em­ploy­ment ben­e­fits come to a sud­den halt this week­end.The de­vel­op­ment en­tails po­ten­tial­ly sig­nif­i­cant im­pli­ca­tions for the re­cov­er­ing US econ­o­my and sets up a tense bat­tle when Con­gress re­con­venes in the new year."
unemploy,"Unemployment on the rise, energy on the decline","The Cen­tral Bank, in its 2009 An­nu­al Eco­nom­ic Sur­vey, ex­am­ined dif­fer­ent sec­tors in the econ­o­my: oil and gas, the labour mar­ket, and pro­duc­tiv­i­ty and wages. The re­port comes out against the back­drop ofa new­ly-elect­ed Gov­ern­ment in place and the promise of an ear­ly 2010/2011 bud­get."
unemploy,UK unemployment at lowest in four years,"LON­DON–Britain's un­em­ploy­ment rate has fall­en to its low­est rate in about four years, of­fi­cial fig­ures showed yes­ter­day, in a de­vel­op­ment that's re­in­forced ex­pec­ta­tions that the Bank of Eng­land will start rais­ing in­ter­est rates soon­er than pre­vi­ous­ly thought.The Of­fice for Na­tion­al Sta­tis­tics said the un­em­ploy­ment rate fell to 7.4 per cent for the three months end­ing in Oc­to­ber, down 0.3 per­cent­age points from the pre­vi­ous three-month pe­ri­od."
unemploy,"Jaded with unemployment, murders, bad roads","Bab­sie, a fe­male ven­dor from Man­zanil­la, who was peel­ing chataigne, told the T&T Sun­day Guardian she would not be vot­ing be­cause no one had done any­thing for her."
unemploy,Unemployment over 10 per cent,"UWI econ­o­mist Dr Roger Ho­sein es­ti­mates that shed­ding some of the work­force of state sub­sidised em­ploy­ment pro­grammes like Cepep and URP could push T&T's un­em­ploy­ment rate to over ten per cent.In his con­tri­bu­tion to a re­cent pre-bud­get fo­rum, Ho­sein cit­ed to a ta­ble of sta­tis­tics which showed a rapid in­crease in the size of the em­ploy­ment in the con­struc­tion sec­tor and ""all oth­er sec­tors""."
unemploy,Howai on unemployment rate: Lower than 4.9% hard to achieve,"Fi­nance Min­is­ter Lar­ry Howai, while not dis­put­ing that un­em­ploy­ment has dropped to 4.9 per cent, cau­tioned, how­ev­er, that he does not see the fig­ures falling too far be­low that. ""A fur­ther drop could be dif­fi­cult to achieve,"" the min­is­ter said, field­ing ques­tions from the me­dia on the mat­ter at a Plan­ning Min­istry func­tion at the Hy­att Re­gency in Port-of-Spain yes­ter­day."
unemploy,Unemployment rates fall in most US cities,"WASH­ING­TON-Un­em­ploy­ment rates fell in rough­ly two-thirds of US cities last month, de­spite ze­ro job growth na­tion­wide. The Labour De­part­ment said yes­ter­day that un­em­ploy­ment rates dropped in 237 of the na­tion's largest metro ar­eas in Au­gust from Ju­ly. They rose in 103 and stayed the same in 32. That's an im­prove­ment from Ju­ly, when rates fell in 193 ar­eas and rose in 118. The US econ­o­my added no net jobs in Au­gust, the least amount of hir­ing in al­most a year. The na­tion­al un­em­ploy­ment rate re­mained 9.1 per cent for the sec­ond straight month. Busi­ness­es pulled back on hir­ing this sum­mer af­ter the gov­ern­ment said the econ­o­my bare­ly ex­pand­ed in the first six months of the year."
unemploy,"Poverty, unemployment dim Haiti's future","""France is not go­ing to pay Haiti repa­ra­tions. It too late for that now,"" says for­mer spe­cial ad­vis­er on Haiti to UN Sec­re­tary Gen­er­al Kofi An­nan, Regi­nald Du­mas. Dur­ing a tele­phone in­ter­view at his home in Ba­co­let, To­ba­go, Du­mas said,""the is­sue of repa­ra­tions has been around for a long time. Aris­tide (for­mer Hait­ian pres­i­dent) had called for repa­ra­tions from France be­cause of the debt which took Haiti about 100 years to pay off."" Af­ter the De­c­la­ra­tion of In­de­pen­dence in 1804, France de­mand­ed that its for­mer colony pay them the sum of 90 mil­l­lion francs or US$20 bil­lion. ""The call will be made and the call will again be ig­nored by France. So we have to try and be a bit more re­al­is­tic."" Eight mil­lion Haitians make it Cari­com's most pop­u­lous state."
unemploy,Spain unemployment hitting nearly 1 of 4 workers,"MADRID-Spain's bru­tal un­em­ploy­ment rate soared to near­ly 23 per cent yes­ter­day and closed in on 50 per cent for those un­der age 25, leav­ing more than 5 mil­lion peo­ple-or al­most one out of every four-out of work as the coun­try slides to­ward re­ces­sion. Spain's Na­tion­al Sta­tis­tics In­sti­tute re­port­ed that 5.3 mil­lion peo­ple were job­less at the end of De­cem­ber, up from 4.9 mil­lion in the third quar­ter-a jump in the un­em­ploy­ment rate from 21.5 per cent to 22.9 per cent in the fourth quar­ter. For those un­der age 25, the rate hit a whop­ping 48.5 per cent, and the in­sti­tute al­so re­port­ed that Spain now has 1.6 mil­lion house­holds in which no one has work."
unemploy,Unemployment rose in nearly all US cities,"WASH­ING­TON-Un­em­ploy­ment rates rose in more than 90 per cent of US cities in June, mir­ror­ing a na­tion­al slow­down in hir­ing. The La­bor De­part­ment said yes­ter­day that un­em­ploy­ment rates rose in 345 large metro ar­eas. They dropped in 20 cities and were un­changed in sev­en. That's worse than May, when rates rose in on­ly 210 cities. And it is a sharp re­ver­sal from April, when un­em­ploy­ment rates fell in near­ly all metro ar­eas."
unemploy,Minister Fazal Karim: Youth unemployment almost 20 per cent,"The un­em­ploy­ment rate re­mains at sev­en per cent, said Sen­a­tor Fazal Karim, Min­is­ter of Sci­ence, Tech­nol­o­gy and Ter­tiary Ed­u­ca­tion. He was at the time speak­ing at the launch of the Na­tion­al Train­ing Agency's (NTA) labour mar­ket re­port at the NTA's Ch­agua­nas of­fice on Tues­day."
unemploy,Unemployment rate drops to 3.2 per cent,"T&T's un­em­ploy­ment rate stood at 3.2 per cent in the sec­ond quar­ter of the year, down from 3.6 per cent dur­ing the first quar­ter."
unemploy,Global unemployment reaches record highs,"The num­ber of job­less world­wide reached near­ly 212 mil­lion in 2009 fol­low­ing an un­prece­dent­ed in­crease of 34 mil­lion com­pared to 2007, on the eve of the glob­al cri­sis, the In­ter­na­tion­al Labour Of­fice (ILO) said in its an­nu­al Glob­al Em­ploy­ment Trends re­port. Based on IMF eco­nom­ic fore­casts, the ILO es­ti­mates that glob­al un­em­ploy­ment is like­ly to re­main high through 2010. In the De­vel­oped Economies and Eu­ro­pean Union un­em­ploy­ment is pro­ject­ed to in­crease by an ad­di­tion­al three mil­lion peo­ple in 2010, while it will sta­bilise at present lev­els, or de­cline on­ly slight­ly, in oth­er re­gions. The ILO al­so said the num­ber of un­em­ployed youth world­wide in­creased by10.2 mil­lion in 2009 com­pared to 2007, the largest hike since 1991. At the same time, the ILO re­port shows wide vari­a­tions in the em­ploy­ment im­pact of the cri­sis be­tween re­gions and coun­tries as well as in labour mar­ket re­cov­ery prospects."
unemploy,"Slightly lower growth, unemployment in 2012","WASH­ING­TON-The Fed­er­al Re­serve has down­grad­ed its out­look for US eco­nom­ic growth this year but is slight­ly more op­ti­mistic about the un­em­ploy­ment rate. The Fed ex­pects the econ­o­my to grow be­tween 2.2 per cent and 2.7 per cent in 2012, ac­cord­ing to its up­dat­ed eco­nom­ic fore­casts re­leased Wednes­day. That's down from No­vem­ber's fore­cast of be­tween 2.5 per cent and 2.9 per cent. Many econ­o­mists ex­pect Eu­rope will suf­fer a re­ces­sion this year, which will slow US growth. Ear­li­er yes­ter­day, the Fed not­ed the weak but grow­ing econ­o­my when it said it doesn&#39;t plan to raise its bench­mark in­ter­est rate un­til late 2014. And some mem­bers want­ed to push that back even fur­ther, ac­cord­ing to new in­ter­est rate pro­jec­tions re­leased with the quar­ter­ly fore­casts."
unemploy,UK unemployment dips to 7.7 per cent in August,"LON­DON–Of­fi­cial fig­ures show Britain's un­em­ploy­ment rate dropped slight­ly to 7.7 per cent for the three-month pe­ri­od to Au­gust, fur­ther ev­i­dence that Eu­rope's third-largest econ­o­my con­tin­ues to strength­en.The Of­fice of Na­tion­al Sta­tis­tics said Wednes­day that the num­ber of those out of work dropped 0.1 per­cent­age points from the three-month pe­ri­od through May. In to­tal, there were 2.49 mil­lion un­em­ployed peo­ple aged 16 and over, down 18,000 from the pre­vi­ous pe­ri­od."
unemploy,Steep drop in unemployment rate spawns conspiracy,"WASH­ING­TON-Con­spir­a­cy the­o­rists came out in force af­ter the gov­ern­ment re­port­ed a sud­den drop in the US un­em­ploy­ment rate one month be­fore Elec­tion Day. Their mes­sage: The Oba­ma ad­min­is­tra­tion would do any­thing to en­sure a No­vem­ber vic­to­ry, in­clud­ing ma­nip­u­lat­ing un­em­ploy­ment da­ta."
unemploy,High US unemployment forecast into 2015,"WASH­ING­TON–The Fed­er­al Re­serve fore­sees un­em­ploy­ment re­main­ing high in­to 2015, sug­gest­ing it will keep short-term in­ter­est rates near record lows at least un­til then.In its lat­est eco­nom­ic fore­casts re­leased Wednes­day, the Fed pre­dicts that the un­em­ploy­ment rate will stay above 6.5 per cent for about two more years. Fed pol­i­cy­mak­ers al­so ex­pect the econ­o­my to grow mod­est­ly this year and next de­spite eco­nom­ic gains so far in 2013."
unemploy,Eurozone unemployment stuck at record 11.4 pct,"BRUS­SELS-Un­em­ploy­ment across the 17 coun­tries that use the eu­ro re­mained at its record high rate of 11.4 per cent in Au­gust re­new­ing con­cerns that ef­forts to slash debts have sac­ri­ficed jobs. While Eu­ro­pean lead­ers have calmed fi­nan­cial mar­kets in re­cent months with promis­es to cut spend­ing and build a tighter union, they haven't solved the eu­ro­zone's deep-root­ed eco­nom­ic prob­lems and the ris­ing tide of job­less­ness. In Au­gust, 34,000 more peo­ple lost their jobs in the eu­ro­zone, ac­cord­ing to da­ta re­leased Mon­day by the Eu­ro­pean sta­tis­tics agency, Eu­ro­stat. The un­em­ploy­ment rate-the high­est since the eu­ro was cre­at­ed in 1999-is the same as Ju­ly's, which was re­vised up from 11.3."
unemploy,"Youth, unemployment and selling citizenship","The economies of Caribbean Com­mu­ni­ty (Cari­com) coun­tries are not do­ing well. Be­lize, Guyana and Suri­name are the on­ly three economies show­ing ap­pre­cia­ble growth. The ma­jor ef­fect of lit­tle or no growth has been in­creas­ing un­em­ploy­ment and un­der­em­ploy­ment of young peo­ple who con­sti­tute three of every five per­sons across the re­gion."
